Survey name,Availability of dietary data,ISO3,Year,Dietary assessment method,Representativeness,Sample size,Youngest age,Oldest age,Sex,Available dietary factors,FoodEx2 harmonization status,GDD model inclusion?,URL (public surveys only),surveyid,surveyround
Demographic and Health Survey Angola 2011,Publicly Available,AGO,2011,Biomarker,National,2888,0,4,Male|Female,,,Yes,https://dhsprogram.com/data/dataset/Angola_MIS_2011.cfm?flag=0,5074,1
DHS V,Publicly Available,ALB,2008,DHS Questionnaire,National,16638,0,98,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Coffee|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Coffee|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-327.cfm,6046,1
Global Student Based Student Health Survey 2010,Publicly Available,ARE,2010,FFQ,National,2547,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,https://www.cdc.gov/gshs/countries/eastmediter/uae.htm,5806,1
"United Arab Emirate- Indoor Air, Health and Nutrition (UAE-IAHN) Survey",,ARE,2009,Single Recall,National,1011,6,50,Male|Female,Total Energy|Total Carbohydrates|Total Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Trans Fatty Acid|Dietary Cholesterol|Added Sugars|Calcium|Dietary Sodium|Iodine|Iron|Potassium|Selenium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin D|Vitamin E|Zinc|Glycemic Index|Glycemic Load|Total Energy|Total Carbohydrates|Total Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Trans Fatty Acid|Dietary Cholesterol|Added Sugars|Calcium|Dietary Sodium|Iodine|Iron|Potassium|Selenium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin D|Vitamin E|Zinc|Glycemic Index|Glycemic Load,,Yes,,196,1
Global Student Based Student Health Survey 2005,Publicly Available,ARE,2005,FFQ,National,15453,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,https://www.cdc.gov/gshs/countries/eastmediter/uae.htm,5678,1
World Health Survey 2003,Publicly Available,ARE,2003,FFQ,National,1183,18,90,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,http://apps.who.int/healthinfo/systems/surveydata/index.php/catalog/128,5679,1
Primer estudio sobre el estado nutricional y los hÃ¡bitos alimentarios de la poblaciÃ³n adulta de Rosario,Available for Download,ARG,2012,Single Recall,Local,1200,15,75,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Sugar-Sweetened Beverages|Coffee|Tea|Reduced Fat Milk|Whole Fat Milk|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Dairy Protein|Plant Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Trans Fatty Acid|Dietary Cholesterol|Dietary Fiber|Added Sugars|Calcium|Dietary Sodium|Iron|Magnesium|Vitamin A with Supplements|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin D|Vitamin E|Zinc|Total Animal Protein|Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Sugar-Sweetened Beverages|Coffee|Tea|Reduced Fat Milk|Whole Fat Milk|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Dairy Protein|Plant Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Trans Fatty Acid|Dietary Cholesterol|Dietary Fiber|Added Sugars|Calcium|Dietary Sodium|Iron|Magnesium|Vitamin A with Supplements|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin D|Vitamin E|Zinc|Total Animal Protein,Harmonized,Yes,,164,1
Global Student Based Student Health Survey 2012,Publicly Available,ARG,2012,FFQ,National,27748,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,https://www.who.int/ncds/surveillance/gshs/argentina/en/,5079,1
Encuesta Alimentaria y Nutricional de la Ciudad de Buenos Aires,,ARG,2011,Multiple Recall,Subnational,5365,0.5,100,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Sugar-Sweetened Beverages|Fruit Juice|Coffee|Tea|Reduced Fat Milk|Whole Fat Milk|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Dairy Protein|Plant Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Trans Fatty Acid|Dietary Cholesterol|Dietary Fiber|Added Sugars|Calcium|Dietary Sodium|Iron|Magnesium|Vitamin A with Supplements|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin D|Vitamin E|Zinc|Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Sugar-Sweetened Beverages|Fruit Juice|Coffee|Tea|Reduced Fat Milk|Whole Fat Milk|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Dairy Protein|Plant Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Trans Fatty Acid|Dietary Cholesterol|Dietary Fiber|Added Sugars|Calcium|Dietary Sodium|Iron|Magnesium|Vitamin A with Supplements|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin D|Vitamin E|Zinc,,Yes,,217,1
Acute and long term consequences of RSV infection in children,Available for Download,ARG,2011,FFQ,Subnational,1316,11,55,Female,Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Tea|Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Tea,,Yes,,302,1
School Canteens Study,Available for Download,ARG,2008,FFQ,Local,403,8,12,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Total Processed Meats|Unprocessed Red Meats|Sugar-Sweetened Beverages|Total Milk|Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Total Processed Meats|Unprocessed Red Meats|Sugar-Sweetened Beverages|Total Milk,,Yes,,238,1
Global Student Based Student Health Survey 2007,Publicly Available,ARG,2007,FFQ,National,1926,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,https://www.who.int/ncds/surveillance/gshs/argentina/en/,5078,1
